src,dst,proto,length,timestamp,src_port,dst_port,conn_state,duration,DNS
68.87.76.178,71.198.243.158,UDP,94,2007-01-13 20:47:36.853025,53,1427,,,us.ebayobjects.com
71.198.243.158,68.87.76.178,UDP,82,2007-01-13 20:47:37.339588,1427,53,,,banners.ebaystatic.com
71.198.243.158,68.87.76.178,UDP,76,2007-01-13 20:47:37.350910,1026,53,,,banners.ebay.com
68.87.76.178,71.198.243.158,UDP,141,2007-01-13 20:47:37.359796,53,1427,,,banners.ebaystatic.com
68.87.76.178,71.198.243.158,UDP,108,2007-01-13 20:47:37.366738,53,1026,,,banners.ebay.com
71.198.243.158,68.87.76.178,UDP,80,2007-01-13 20:47:37.388657,1427,53,,,http300.edge.ru4.com
68.87.76.178,71.198.243.158,UDP,129,2007-01-13 20:47:37.406684,53,1427,,,http300.edge.ru4.com
71.198.243.158,68.87.76.178,UDP,70,2007-01-13 20:47:37.576011,1427,53,,,m.2mdn.net
68.87.76.178,71.198.243.158,UDP,86,2007-01-13 20:47:37.587430,53,1427,,,m.2mdn.net
67.170.215.94,68.87.76.178,UDP,83,2007-01-13 20:49:14.668408,1046,53,,,2.26.64.24.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,158,2007-01-13 20:49:14.717980,53,1046,,,2.26.64.24.in-addr.arpa
67.170.215.94,68.87.76.178,UDP,86,2007-01-13 20:49:19.223646,1046,53,,,209.152.63.60.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,175,2007-01-13 20:49:19.349699,53,1046,,,209.152.63.60.in-addr.arpa
67.170.215.94,68.87.76.178,UDP,87,2007-01-13 20:49:23.850860,1046,53,,,248.10.140.121.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,143,2007-01-13 20:49:23.860680,53,1046,,,248.10.140.121.in-addr.arpa
67.170.215.94,68.87.76.178,UDP,85,2007-01-13 20:49:28.362480,1046,53,,,97.215.64.81.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,123,2007-01-13 20:49:28.382421,53,1046,,,97.215.64.81.in-addr.arpa
67.170.215.94,68.87.76.178,UDP,87,2007-01-13 20:49:28.385008,1046,53,,,170.92.128.195.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,150,2007-01-13 20:49:28.396787,53,1046,,,170.92.128.195.in-addr.arpa
67.170.215.94,68.87.76.178,UDP,87,2007-01-13 20:49:28.399456,1046,53,,,200.220.40.206.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,137,2007-01-13 20:49:28.487505,53,1046,,,200.220.40.206.in-addr.arpa
67.170.215.94,68.87.76.178,UDP,85,2007-01-13 20:49:32.989279,1046,53,,,38.192.12.60.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,144,2007-01-13 20:49:33.000138,53,1046,,,38.192.12.60.in-addr.arpa
67.170.215.94,68.87.76.178,UDP,87,2007-01-13 20:49:37.501848,1046,53,,,241.113.12.221.in-addr.arpa
68.87.76.178,67.170.215.94,UDP,176,2007-01-13 20:49:37.512508,53,1046,,,241.113.12.221.in-addr.arpa
