src,dst,proto,length,timestamp,src_port,dst_port,conn_state,DNS,connection_duration
10.0.0.66,10.0.0.1,TCP,54,1135111323.607106,42542.0,2638.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.607209,42542.0,569.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.607245,2638.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.607367,42542.0,1030.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.607416,569.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.60752,1030.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.607596,42542.0,36.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.607694,42542.0,1493.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.607769,36.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.607796,1493.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.607916,42542.0,176.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.608016,42542.0,1535.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.608068,176.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.608146,1535.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.608245,42542.0,529.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.608344,42542.0,773.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.608426,529.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.608452,773.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.608567,42542.0,938.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.608666,42542.0,136.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.608734,938.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.608809,136.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.608892,42542.0,559.0,SYN,,0.0
