src,dst,proto,length,timestamp,src_port,dst_port,conn_state,duration,DNS
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901776,63805,43889,REJ,0.06,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901776,63805,35177,REJ,0.07,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901777,63805,58754,S0,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901776,63805,9781,REJ,0.06,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901777,63805,24210,REJ,0.05,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901777,63805,52723,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901777,63806,15079,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901777,63806,37004,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901777,63805,29059,REJ,0.04,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901778,63805,40288,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901778,63805,29690,REJ,0.04,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901778,63805,19480,REJ,0.04,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901779,63805,4846,REJ,0.05,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901779,63805,17980,REJ,0.06,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901779,63805,32371,REJ,0.04,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901779,63805,41207,REJ,0.01,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901779,63805,44071,REJ,0.01,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901780,63805,32640,REJ,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901780,63805,50086,REJ,0.01,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901780,63805,63631,REJ,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901780,63805,18671,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901780,63805,40459,S0,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901781,63805,57508,REJ,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901781,63805,23231,REJ,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901782,63805,28061,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901782,63805,44586,S0,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901782,63805,37628,REJ,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901782,63805,13463,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901782,63806,16188,S0,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901782,63805,17115,REJ,0.0,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901782,63805,58967,REJ,0.01,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901782,63805,22597,REJ,0.02,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901782,63806,57815,S0,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901782,63805,11751,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901783,63805,32610,S0,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901783,63805,20914,REJ,0.03,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901783,63805,25733,REJ,0.04,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901783,63805,17146,REJ,0.02,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901784,63805,7759,REJ,0.01,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901784,63805,52334,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901784,63805,6129,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901784,63806,23980,S0,0.0,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901784,63805,4916,REJ,0.04,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901784,63805,54745,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901785,63805,42923,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901785,63805,5610,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901786,63805,8534,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901786,63806,17061,S0,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901786,63806,56145,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901786,63805,5920,REJ,0.02,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901787,63805,15628,REJ,0.03,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901787,63805,41811,REJ,0.02,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901787,63805,40771,REJ,0.04,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901787,63805,64142,S0,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901787,63805,41044,REJ,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901787,63805,18299,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901787,63806,43525,S0,0.0,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901788,63805,22277,REJ,0.03,
192.168.202.79,192.168.229.153,tcp,0,1970-01-01 00:00:01.331901788,63805,30413,REJ,0.01,
